trial,value,lr,dropout,weight_decay,unfreeze,metric,metric_value
0,0.7153614457831325,0.0001272485676810452,0.23137793805138046,0.0003760816203680717,50,epoch_1_val_acc,0.3539156626506024
0,0.7153614457831325,0.0001272485676810452,0.23137793805138046,0.0003760816203680717,50,epoch_1_val_loss,3.838777769042785
0,0.7153614457831325,0.0001272485676810452,0.23137793805138046,0.0003760816203680717,50,epoch_2_val_acc,0.4789156626506024
0,0.7153614457831325,0.0001272485676810452,0.23137793805138046,0.0003760816203680717,50,epoch_2_val_loss,2.871315969042031
0,0.7153614457831325,0.0001272485676810452,0.23137793805138046,0.0003760816203680717,50,epoch_3_val_acc,0.6054216867469879
0,0.7153614457831325,0.0001272485676810452,0.23137793805138046,0.0003760816203680717,50,epoch_3_val_loss,2.277508932423879
0,0.7153614457831325,0.0001272485676810452,0.23137793805138046,0.0003760816203680717,50,epoch_4_val_acc,0.6566265060240963
0,0.7153614457831325,0.0001272485676810452,0.23137793805138046,0.0003760816203680717,50,epoch_4_val_loss,1.9708157720335995
0,0.7153614457831325,0.0001272485676810452,0.23137793805138046,0.0003760816203680717,50,epoch_5_val_acc,0.7153614457831325
0,0.7153614457831325,0.0001272485676810452,0.23137793805138046,0.0003760816203680717,50,epoch_5_val_loss,1.6860169086111598
1,0.23795180722891565,0.0015281482612417786,0.282819392099686,1.228430045212277e-05,100,epoch_1_val_acc,0.12650602409638553
1,0.23795180722891565,0.0015281482612417786,0.282819392099686,1.228430045212277e-05,100,epoch_1_val_loss,5.223035714712488
1,0.23795180722891565,0.0015281482612417786,0.282819392099686,1.228430045212277e-05,100,epoch_2_val_acc,0.14156626506024098
1,0.23795180722891565,0.0015281482612417786,0.282819392099686,1.228430045212277e-05,100,epoch_2_val_loss,4.802608771496509
1,0.23795180722891565,0.0015281482612417786,0.282819392099686,1.228430045212277e-05,100,epoch_3_val_acc,0.1852409638554217
1,0.23795180722891565,0.0015281482612417786,0.282819392099686,1.228430045212277e-05,100,epoch_3_val_loss,4.556662427373679
1,0.23795180722891565,0.0015281482612417786,0.282819392099686,1.228430045212277e-05,100,epoch_4_val_acc,0.2063253012048193
1,0.23795180722891565,0.0015281482612417786,0.282819392099686,1.228430045212277e-05,100,epoch_4_val_loss,4.288389527654073
1,0.23795180722891565,0.0015281482612417786,0.282819392099686,1.228430045212277e-05,100,epoch_5_val_acc,0.23795180722891565
1,0.23795180722891565,0.0015281482612417786,0.282819392099686,1.228430045212277e-05,100,epoch_5_val_loss,4.03856366226472
2,0.7289156626506024,0.00013694761807766826,0.4012275617646891,6.967809435487094e-05,75,epoch_1_val_acc,0.3207831325301205
2,0.7289156626506024,0.00013694761807766826,0.4012275617646891,6.967809435487094e-05,75,epoch_1_val_loss,3.9205677638570946
2,0.7289156626506024,0.00013694761807766826,0.4012275617646891,6.967809435487094e-05,75,epoch_2_val_acc,0.4864457831325301
2,0.7289156626506024,0.00013694761807766826,0.4012275617646891,6.967809435487094e-05,75,epoch_2_val_loss,2.866082221628672
2,0.7289156626506024,0.00013694761807766826,0.4012275617646891,6.967809435487094e-05,75,epoch_3_val_acc,0.6009036144578314
2,0.7289156626506024,0.00013694761807766826,0.4012275617646891,6.967809435487094e-05,75,epoch_3_val_loss,2.2539784060903343
2,0.7289156626506024,0.00013694761807766826,0.4012275617646891,6.967809435487094e-05,75,epoch_4_val_acc,0.6626506024096386
2,0.7289156626506024,0.00013694761807766826,0.4012275617646891,6.967809435487094e-05,75,epoch_4_val_loss,1.8544158547757619
2,0.7289156626506024,0.00013694761807766826,0.4012275617646891,6.967809435487094e-05,75,epoch_5_val_acc,0.7289156626506024
2,0.7289156626506024,0.00013694761807766826,0.4012275617646891,6.967809435487094e-05,75,epoch_5_val_loss,1.6261302871876453
3,0.2680722891566265,0.00021219582428880525,0.3579056934328819,0.0006734253357162061,75,epoch_1_val_acc,0.2680722891566265
3,0.2680722891566265,0.00021219582428880525,0.3579056934328819,0.0006734253357162061,75,epoch_1_val_loss,4.376760248678276
4,0.11897590361445783,0.002739770694329481,0.3290862493979658,1.8536611348600995e-05,150,epoch_1_val_acc,0.11897590361445783
4,0.11897590361445783,0.002739770694329481,0.3290862493979658,1.8536611348600995e-05,150,epoch_1_val_loss,5.5522545619183274
5,0.21234939759036145,0.0008415096862100282,0.25522024850393943,0.00016518593116121,100,epoch_1_val_acc,0.21234939759036145
5,0.21234939759036145,0.0008415096862100282,0.25522024850393943,0.00016518593116121,100,epoch_1_val_loss,4.746166829603264
6,0.29066265060240964,0.000464760961015067,0.31035167276958997,0.00045118581153762415,100,epoch_1_val_acc,0.29066265060240964
6,0.29066265060240964,0.000464760961015067,0.31035167276958997,0.00045118581153762415,100,epoch_1_val_loss,4.257240734904645
7,0.13704819277108435,0.0016063774216566397,0.23245329023851874,0.00018088102497969236,125,epoch_1_val_acc,0.13704819277108435
7,0.13704819277108435,0.0016063774216566397,0.23245329023851874,0.00018088102497969236,125,epoch_1_val_loss,5.16534349142787
8,0.2936746987951807,0.00018986472068822964,0.46243858781570235,0.0001716038703486882,75,epoch_1_val_acc,0.2936746987951807
8,0.2936746987951807,0.00018986472068822964,0.46243858781570235,0.0001716038703486882,75,epoch_1_val_loss,4.421934044504741
9,0.1686746987951807,0.0010041993269501875,0.49450872717627065,1.6213382112148972e-05,125,epoch_1_val_acc,0.1686746987951807
9,0.1686746987951807,0.0010041993269501875,0.49450872717627065,1.6213382112148972e-05,125,epoch_1_val_loss,5.020009514797165
